,id,x_pos,y_pos,x_yaw,y_yaw
0,5,8.986799,-21.601835,1.0,0.0
1,4,37.526794,14.0597315,1.0,0.0
2,3,7.5060163,-14.250338,1.0,0.0
3,2,35.48553,3.7793915,1.0,0.0
4,1,-24.85078,7.4994936,1.0,0.0
11,21,-5.726407644216305,34.76694111816802,1.0,-1.554312234364771e-15
12,14,8.810680823996702,15.865544243144312,1.0,-1.554312234478883e-15
13,6,23.641129270353467,-0.0137676057298003,1.0,-1.5543122345242058e-15
14,11,-25.23616002496493,3.442621137467051,1.0,-1.5543122344722718e-15
15,12,36.16331458516597,7.832758086539162,1.0,-1.5543122344788392e-15
16,9,-49.03951301337942,8.048160999138117,1.0,-1.554312234479708e-15
17,5,8.935384436262538,-21.609195228586827,1.0,-1.5543122344740668e-15
18,8,-8.568313254986696,28.36683046733132,1.0,-1.5543122344853509e-15
19,10,47.34949509003843,-0.2840814691676722,1.0,-1.554312234469263e-15
20,2,35.539566382658734,3.77566325657851,1.0,-1.5543122344788264e-15
21,4,37.46479431273751,14.028964236996266,1.0,-1.5543122344297445e-15
22,18,-9.378967132780405,0.7831199530129369,1.0,-1.5543122344723416e-15
24,1,-24.849512777770357,7.559564538809036,1.0,-1.5543122344736574e-15
25,7,-15.667848633312987,7.262304272462822,1.0,-1.5543122344795612e-15
26,3,7.545980216979361,-14.318709294231866,1.0,-1.5543122344772402e-15
33,14,8.756913368508961,15.860213902690568,0.9999999997390074,2.284699390514376e-05
36,12,36.22498594537963,7.831695727398697,0.9999999999942032,-3.4049070098991967e-06
37,8,-8.55853616613897,28.414043555185355,0.9999999999956372,2.953919169832529e-06
38,21,-5.75444154212107,34.746030280894345,0.9999999994009658,3.461312386870454e-05
39,11,-25.20672195742248,3.4923742442117094,0.9999999997018286,2.4420129224651182e-05
40,2,35.60518712993262,3.748431129872304,0.999999994145616,-0.0001082070608792
41,10,47.27434839073758,-0.287193385009368,0.9999999998993429,1.4188523456373252e-05
42,6,23.70040785692825,-0.0029457119074616,0.999999999221709,3.945354064009446e-05
43,5,8.871839287758732,-21.608808270191453,0.9999999999988,-1.5492502537627242e-06
44,1,-24.838831615490573,7.642244838646992,0.999999999970325,7.703903158086625e-06
45,18,-9.428166396029363,0.7791692305557648,0.9999999999532868,9.665741158357607e-06
46,4,37.39282925955587,14.00798251635728,0.9999999954500004,9.539391517338094e-05
47,7,-15.729352341989078,7.254903514541416,0.9999999998086028,1.956514181406862e-05
49,9,-48.9843259464028,7.994658200332579,0.99999999999828,1.8547298384211929e-06
50,3,7.577120789183405,-14.34555158258314,0.9999999995837692,2.885241072410497e-05
57,14,8.679823300988698,15.853844484158252,0.9999999851880544,0.0001721159227568
59,21,-5.783155526807037,34.73648249142505,0.9999999952156172,9.782006579394128e-05
60,8,-8.557293174804785,28.44807391590944,0.9999999956837656,9.291107789146424e-05
61,10,47.18105794868158,-0.2892561359147614,0.9999999972129324,7.46601289356704e-05
62,12,36.31008556703301,7.823512127029351,0.9999999811109024,-0.0001943661367444
63,11,-25.177996399748533,3.5412264381316305,0.999999899556986,0.0004482030988621
64,18,-9.49370738343194,0.7699119478105876,0.9999999829994438,0.0001843939049412
65,7,-15.793072070062909,7.241964598167728,0.9999999530427224,0.0003064548144436
66,4,37.31450108461642,13.990132435813043,0.9999998133276368,0.0006110193875409
67,5,8.800450940869375,-21.61291813606467,0.9999999948125164,0.0001018575818557
68,1,-24.830945720212604,7.729935909114051,0.9999999654904512,0.0002627148570544
69,2,35.683862096042795,3.7186357352376818,0.9999996148099768,-0.0008777128791085
70,9,-48.963921682393085,8.034189718392831,0.9999997987454826,0.0006344359654546
71,6,23.76979790669608,0.0062559622861762,0.9999999670898932,0.0002565545024065
74,3,7.642041342821548,-14.446532303535662,0.9999999999933368,3.6505545010624097e-06
80,14,8.578378178297362,15.857561777060448,-0.9999999859147936,0.0001678404382387
82,9,-48.93825634958944,8.076708709791955,0.9999974154442492,0.0022735665421497
83,8,-8.562389947109649,28.4895765384444,0.9999999347040625,0.0003613749727762
84,10,47.07890348487445,-0.2918796896410267,-0.9999999353144656,-0.0003596818937333
86,12,36.39490749931464,7.819461797491604,0.9999998379618712,-0.0005692769372682
87,4,37.22271360217415,13.978397714678945,-0.9999984431517744,-0.0017645662434635
89,5,8.70774787339229,-21.614043053464016,0.9999999802391172,0.0001988008178824
90,1,-24.83077010050569,7.800965121141047,0.9999994971090498,0.0010028866574234
91,11,-25.148196376839927,3.6005336327040838,0.9999969460730856,0.0024714053698723
92,7,-15.891735701989624,7.247589440704901,0.9999999867368544,-0.0001628689384407
93,18,-9.578508060743022,0.7654510981750484,0.99999986800732,0.0005137950392631
94,6,23.84861086123453,0.0156716672420784,0.9999994410104084,0.0010573451993558
95,2,35.77949617879946,3.690518662260603,0.9999938452463256,-0.0035084853523317
96,21,-5.804467880081483,34.782345727673146,0.9999994434924792,-0.0010549951336315
99,3,7.674848769029943,-14.451205906037607,0.999999999926924,-1.2089326658193171e-05
101,14,8.492023137547108,15.862843641722986,-0.99999886391576,0.001507370952821
106,10,46.99074827305948,-0.2950094953357877,-0.9999992206069788,-0.0012485132898062
108,8,-8.571627549095687,28.541845734089268,0.9999997564441696,0.0006979338086206
109,4,37.14534333071744,13.958142202408576,-0.9999755365188776,-0.0069947382926558
110,11,-25.121422033327264,3.665934486433705,0.9999652730928678,0.0083338231506596
112,1,-24.82268464193353,7.875992991746418,0.9999970179167466,0.0024421624872563
